Timestamp (s),GSR,dGSR,BPM,HRV,SkinT,Strain,Risk,Calib,
0,438.1,0,74,0,33.2,0,0,1,Low risk
6,728.2,0,77,69,33.3,0,0,1,Low risk
12,938,0,78,112,33.3,0,0,1,Low risk
18,1098,0,80,99.4,33,0,0,1,Low risk
24,1223.2,0,81,150.7,33.3,0,0,1,Low risk
30,1324.5,0,82,165.2,33.2,0,0,1,Low risk
36,1408.4,0,81,200.4,33.2,0,0,1,Low risk
42,1480,0,77,247.3,33.2,0,0,1,Low risk
48,1541.2,0,78,300.2,33.1,0,0,1,Low risk
54,1594.6,159.461,76,228,33,0,40,1,Moderate risk
60,1641.9,120.381,74,163.1,33,0,40,1,Moderate risk
66,1684.2,95.599,79,154.8,33.6,0,40.8,1,Moderate risk
72,1722.2,78.425,82,202.5,33.7,0,41.3,1,Moderate risk
78,1756.6,65.865,89,163.1,33.3,0.6,40.2,1,Moderate risk
84,1787.7,56.444,91,129.6,33,1.2,40.4,1,Moderate risk
90,1816.3,49.181,88,103.5,33.3,1.8,40.5,1,Moderate risk
96,1842.8,43.443,86,123.2,33.6,2.5,41.5,1,Moderate risk
102,1866.8,38.676,81,240,33.6,2.1,41.3,1,Moderate risk
108,1889.5,34.828,84,252.2,33.8,1.7,42.3,1,Moderate risk
114,1910.2,31.563,84,271.4,33.6,1.3,41.3,1,Moderate risk
120,1929.3,28.74,84,271.4,33.6,0.9,41,1,Moderate risk
126,1946.5,26.228,84,291.9,33.7,0.5,41.6,1,Moderate risk
132,1962.8,24.058,91,292.4,33.6,1.2,41.5,1,Moderate risk
138,1977.7,22.105,91,292.4,33.7,2,42,1,Moderate risk
144,1991.9,20.423,91,292.4,33.9,2.8,43,1,Moderate risk
150,2000.2,18.385,91,292.4,34.3,3.9,45,1,Moderate risk
156,2009.2,16.643,91,314.6,34.5,5,46,1,Moderate risk
162,2018.5,15.174,91,314.6,34.3,6.1,45.6,1,Moderate risk
168,2027.2,13.77,89,342.1,34.6,7.3,47,1,Moderate risk
174,2034.8,12.452,87,385.9,34.2,8.3,45.8,1,Moderate risk
180,2041.3,11.201,81,325.4,34.6,7.9,47,1,Moderate risk
186,2046.9,10.042,81,340.1,34.7,9.1,47.9,1,Moderate risk
192,2053,9.019,81,344.5,34.8,10.4,48.7,1,Moderate risk
198,2058.5,8.085,81,338.3,34.7,11.6,48.7,1,Moderate risk
204,2063.2,7.135,78,230.6,34.8,12.9,49.4,1,Moderate risk
210,2067.6,6.736,75,230.7,35.1,14.3,51.1,1,Moderate risk
216,2071.2,6.201,75,236.5,35.1,15.7,51.4,1,Moderate risk
222,2074.2,5.568,75,236.5,35.3,17.2,52.9,1,Moderate risk
228,2076.4,4.92,75,259,35.3,18.7,53.3,1,Moderate risk
234,2078.2,4.34,75,258.1,34.8,20,51.9,1,Moderate risk
240,2080.2,3.892,75,258.1,35.2,21.5,53.8,1,Moderate risk
246,2081.2,3.428,75,258.1,34.1,21.1,49.1,1,Moderate risk
252,2075.7,2.265,75,258.1,36.6,23.2,59.7,1,Moderate risk
258,2062.8,0.423,75,258.1,38,25.9,33.7,1,Moderate risk
264,2043.6,-1.962,75,258.1,46.3,28.6,26.1,1,Low risk
270,2030,-3.751,75,258.1,39,31.3,26.9,1,Low risk
276,2018.8,-5.24,75,258.1,38.5,34,27.7,1,Low risk
282,2005.1,-6.913,75,258.1,43.3,36.7,28.5,1,Low risk
288,1993.2,-8.32,75,258.1,40.4,39.4,29.3,1,Low risk
294,1982.8,-9.536,75,258.1,40,42.1,30.1,1,Moderate risk
300,1972.4,-10.777,75,258.1,39.8,44.8,31,1,Moderate risk
306,1961.7,-11.954,75,258.1,39.7,47.5,31.8,1,Moderate risk
312,1951.9,-12.372,75,258.1,39.5,50.2,32.6,1,Moderate risk
318,406.4,0,68,0,35.9,0,0,1,Low risk
324,681.5,0,75,312.3,35.8,0,0,1,Low risk
330,880.1,0,81,226.5,35.7,0,0,1,Low risk
336,1032.8,0,82,70.2,35.9,0,0,1,Low risk
342,1152.4,0,82,316.8,35.8,0,0,1,Low risk
348,1249.3,0,84,81.3,36,0,0,1,Low risk
354,1330.1,0,81,273.2,35.9,0,0,1,Low risk
360,1400,0,79,228.3,35.8,0,0,1,Low risk
366,1459.3,0,85,42.4,35.7,0.6,0.2,1,Low risk
372,1511.2,151.121,85,76.3,35.7,0.2,40.1,1,Moderate risk
378,1556.2,114.987,85,76.3,35.7,0,40,1,Moderate risk
384,1597.1,91.563,87,44.9,35.7,0.6,40.2,1,Moderate risk
390,1633.6,75.352,90,30.7,35.7,1.2,40.4,1,Moderate risk
396,1666.1,63.334,90,30.7,35.6,1.8,40.5,1,Moderate risk
402,1696.4,54.399,92,53.3,35.6,2.4,40.7,1,Moderate risk
408,1723.8,47.45,93,45.2,35.6,3,40.9,1,Moderate risk
414,1749.6,41.952,93,24,35.6,3.6,41.1,1,Moderate risk
420,1773.1,37.311,93,26.7,35.7,4.2,41.3,1,Moderate risk
426,1794.4,33.517,91,22.3,35.8,4.8,41.4,1,Moderate risk
432,1814.1,30.288,90,114.8,35.8,5.4,41.6,1,Moderate risk
438,1833.3,27.704,91,28.4,36,6,41.8,1,Moderate risk
444,1850.4,25.331,89,101,36,6.6,42,1,Moderate risk
450,1866.6,23.302,86,279.1,36,7.2,42.2,1,Moderate risk
456,1881.4,21.531,86,278.6,35.9,7.8,42.3,1,Moderate risk
462,1897.6,20.117,86,278.6,35.9,8.4,42.5,1,Moderate risk
468,1911.6,18.786,86,288.6,36,9,42.7,1,Moderate risk
474,1924.8,17.518,86,317.5,35.9,9.6,42.9,1,Moderate risk
480,1938.5,16.536,86,306.1,35.9,10.2,43.1,1,Moderate risk
486,1946.4,15.198,85,278.2,35.8,10.8,43.2,1,Moderate risk
492,1954,13.995,85,297,35.8,11.4,43.4,1,Moderate risk
498,1964.3,13.107,81,295.2,36.2,11,43.9,1,Moderate risk
504,1974.5,12.404,80,247.2,36.1,10.6,43.7,1,Moderate risk
